timestamp,reportingGroup,locationName,value,unit
13/07/2019 0.00.00,Electricity,1000 Hakaniemen kauppahalli,61,95,kWh
14/07/2019 0.00.00,Electricity,1000 Hakaniemen kauppahalli,24,760000000000005,kWh
15/07/2019 0.00.00,Electricity,1000 Hakaniemen kauppahalli,51,54999999999999,kWh
16/07/2019 0.00.00,Electricity,1000 Hakaniemen kauppahalli,45,23999999999999,kWh
17/07/2019 0.00.00,Electricity,1000 Hakaniemen kauppahalli,58,28999999999999,kWh
18/07/2019 0.00.00,Electricity,1000 Hakaniemen kauppahalli,53,529999999999994,kWh
19/07/2019 0.00.00,Electricity,1000 Hakaniemen kauppahalli,54,95999999999999,kWh
20/07/2019 0.00.00,Electricity,1000 Hakaniemen kauppahalli,59,029999999999994,kWh
21/07/2019 0.00.00,Electricity,1000 Hakaniemen kauppahalli,32,66,kWh
22/07/2019 0.00.00,Electricity,1000 Hakaniemen kauppahalli,47,609999999999985,kWh
23/07/2019 0.00.00,Electricity,1000 Hakaniemen kauppahalli,48,39999999999999,kWh
24/07/2019 0.00.00,Electricity,1000 Hakaniemen kauppahalli,48,429999999999986,kWh
25/07/2019 0.00.00,Electricity,1000 Hakaniemen kauppahalli,47,879999999999995,kWh
26/07/2019 0.00.00,Electricity,1000 Hakaniemen kauppahalli,45,53999999999999,kWh
27/07/2019 0.00.00,Electricity,1000 Hakaniemen kauppahalli,47,19999999999999,kWh
28/07/2019 0.00.00,Electricity,1000 Hakaniemen kauppahalli,22,76000000000001,kWh
29/07/2019 0.00.00,Electricity,1000 Hakaniemen kauppahalli,45,109999999999985,kWh
30/07/2019 0.00.00,Electricity,1000 Hakaniemen kauppahalli,44,21999999999999,kWh
31/07/2019 0.00.00,Electricity,1000 Hakaniemen kauppahalli,45,00999999999999,kWh
01/08/2019 0.00.00,Electricity,1000 Hakaniemen kauppahalli,46,099999999999994,kWh
02/08/2019 0.00.00,Electricity,1000 Hakaniemen kauppahalli,47,78,kWh
03/08/2019 0.00.00,Electricity,1000 Hakaniemen kauppahalli,53,19,kWh
04/08/2019 0.00.00,Electricity,1000 Hakaniemen kauppahalli,21,94000000000001,kWh
05/08/2019 0.00.00,Electricity,1000 Hakaniemen kauppahalli,45,92999999999999,kWh
06/08/2019 0.00.00,Electricity,1000 Hakaniemen kauppahalli,45,759999999999984,kWh
07/08/2019 0.00.00,Electricity,1000 Hakaniemen kauppahalli,37,88000000000001,kWh
08/08/2019 0.00.00,Electricity,1000 Hakaniemen kauppahalli,41,719999999999985,kWh
09/08/2019 0.00.00,Electricity,1000 Hakaniemen kauppahalli,43,97999999999999,kWh
10/08/2019 0.00.00,Electricity,1000 Hakaniemen kauppahalli,54,66999999999998,kWh
11/08/2019 0.00.00,Electricity,1000 Hakaniemen kauppahalli,15,129999999999999,kWh
12/08/2019 0.00.00,Electricity,1000 Hakaniemen kauppahalli,43,09999999999998,kWh
13/08/2019 0.00.00,Electricity,1000 Hakaniemen kauppahalli,41,99999999999999,kWh
14/08/2019 0.00.00,Electricity,1000 Hakaniemen kauppahalli,41,01999999999999,kWh
15/08/2019 0.00.00,Electricity,1000 Hakaniemen kauppahalli,41,54,kWh
16/08/2019 0.00.00,Electricity,1000 Hakaniemen kauppahalli,45,76,kWh
17/08/2019 0.00.00,Electricity,1000 Hakaniemen kauppahalli,55,35999999999999,kWh
18/08/2019 0.00.00,Electricity,1000 Hakaniemen kauppahalli,27,680000000000007,kWh
19/08/2019 0.00.00,Electricity,1000 Hakaniemen kauppahalli,32,25000000000001,kWh
20/08/2019 0.00.00,Electricity,1000 Hakaniemen kauppahalli,41,1,kWh
21/08/2019 0.00.00,Electricity,1000 Hakaniemen kauppahalli,44,49999999999999,kWh
22/08/2019 0.00.00,Electricity,1000 Hakaniemen kauppahalli,47,94999999999999,kWh
23/08/2019 0.00.00,Electricity,1000 Hakaniemen kauppahalli,36,43,kWh
24/08/2019 0.00.00,Electricity,1000 Hakaniemen kauppahalli,58,31999999999999,kWh
25/08/2019 0.00.00,Electricity,1000 Hakaniemen kauppahalli,27,450000000000006,kWh
26/08/2019 0.00.00,Electricity,1000 Hakaniemen kauppahalli,41,kWh
27/08/2019 0.00.00,Electricity,1000 Hakaniemen kauppahalli,49,349999999999994,kWh
28/08/2019 0.00.00,Electricity,1000 Hakaniemen kauppahalli,48,809999999999995,kWh
29/08/2019 0.00.00,Electricity,1000 Hakaniemen kauppahalli,49,419999999999995,kWh
30/08/2019 0.00.00,Electricity,1000 Hakaniemen kauppahalli,46,32,kWh
31/08/2019 0.00.00,Electricity,1000 Hakaniemen kauppahalli,53,62,kWh
